Job Title,Company,Experience,Location
Data Scientist/Data Analyst-immediate,CAIA-Center For Artificial Intelligence & Advanced Analytics,0-3 Yrs,"Chennai, Pune, Bengaluru, Hyderabad"
Immediate openings For MIS executive /Data analyst For Bangalore,RANDSTAD INDIA PVT LTD,3-8 Yrs,Bengaluru
Data Analyst,Applied Materials,6-11 Yrs,Bengaluru
Data Analyst,Cognizant Technology Solutions India Pvt Ltd,2-3 Yrs,"Mumbai, Bengaluru, Hyderabad"
Data Analyst,St. Johnâ€™s Research Institute,0-4 Yrs,Bengaluru
Data Analyst ,Siemens Limited,0-3 Yrs,Bengaluru
"Procurement Data Analyst ( 0.6 To 3 Yrs, Bangalore)",Sunstream Global Technologies LLP,0-3 Yrs,Bengaluru(Koramangala)
Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,2-7 Yrs,Bengaluru
Data Analyst,Cognizant Technology Solutions India Pvt Ltd,3-4 Yrs,"Bengaluru, Kolkata"
Business Analyst / Data Analyst,Schneider Electric India Pvt. Ltd.,2-5 Yrs,Bengaluru
